127.0.0.1 - - [13/Mar/2015:08:06:14 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:24 -0300] "GET /Escola/index.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:24 -0300] "GET /Escola/resources/styles/style.css HTTP/1.1" 200 4166
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:24 -0300] "GET /Escola/resources/styles/style-index.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:24 -0300] "GET /Escola/resources/images/home.ico HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:24 -0300] "GET /Escola/resources/images/search-item.png HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:38 -0300] "GET /Escola/index.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:38 -0300] "GET /Escola/resources/styles/style.css HTTP/1.1" 200 4166
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:39 -0300] "GET /Escola/resources/styles/style-index.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:39 -0300] "GET /Escola/resources/images/home.ico HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:06:39 -0300] "GET /Escola/resources/images/search-item.png HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:08 -0300] "GET /Escola/CadastroAlunos HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:08 -0300] "GET /Escola/resources/scripts/jquery.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:08 -0300] "GET /Escola/resources/scripts/script-mascara.js HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:08 -0300] "GET /Escola/resources/scripts/script-cadastro-alunos.js HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:09 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:10 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:11 -0300] "GET /Escola/EditarAluno HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:11 -0300] "GET /Escola/resources/styles/style-cadastro-alunos.css HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:13 -0300] "GET /Escola/Remover HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [13/Mar/2015:08:08:13 -0300] "GET /Escola/EditarResponsavel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:19 -0300] "GET /Escola/index.jsp HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:19 -0300] "GET /Escola/resources/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:21 -0300] "GET /Escola/CadastroAlunos HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:23 -0300] "GET /Escola/resources/scripts/jquery.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:23 -0300] "GET /Escola/resources/scripts/script-mascara.js HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:23 -0300] "GET /Escola/resources/scripts/script-cadastro-alunos.js HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:36:25 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
